ensembl_gene_id,gene_id
ENSG00000039523,79567.0
ENSG00000039537,729.0
ENSG00000039560,26064.0
ENSG00000039600,11063.0
ENSG00000039650,11284.0
ENSG00000039987,54831.0
ENSG00000040199,23035.0
ENSG00000040275,54908.0
ENSG00000040341,27067.0
ENSG00000040487,54896.0
ENSG00000040531,1497.0
ENSG00000040608,65078.0
ENSG00000040633,79142.0
ENSG00000040731,1008.0
ENSG00000040933,3631.0
ENSG00000041353,5874.0
ENSG00000041357,5685.0
ENSG00000041515,23026.0
ENSG00000041802,55341.0
ENSG00000041880,10039.0
ENSG00000041982,3371.0
ENSG00000041988,90326.0
ENSG00000042062,140876.0
ENSG00000042088,55775.0
ENSG00000042286,84883.0
ENSG00000042304,56918.0
ENSG00000042317,55812.0
ENSG00000042429,9440.0
ENSG00000042445,54884.0
ENSG00000042493,822.0
ENSG00000042753,1175.0
ENSG00000042781,7399.0
ENSG00000042813,11055.0
ENSG00000042832,7038.0
ENSG00000042980,10863.0
ENSG00000043039,8538.0
ENSG00000043093,54165.0
ENSG00000043143,23338.0
ENSG00000043355,7546.0
ENSG00000043462,3937.0
ENSG00000043514,54802.0
ENSG00000043591,153.0
ENSG00000044012,2981.0
ENSG00000044090,9820.0
ENSG00000044115,1495.0
ENSG00000044446,5256.0
ENSG00000044459,54875.0
ENSG00000044524,2042.0
ENSG00000044574,3309.0
ENSG00000046604,1829.0
ENSG00000046647,54960.0
ENSG00000046651,8481.0
ENSG00000046653,2824.0
ENSG00000046774,51438.0
ENSG00000046889,80243.0
ENSG00000047056,22884.0
ENSG00000047188,64848.0
ENSG00000047230,56474.0
ENSG00000047249,51606.0
ENSG00000047315,5431.0
ENSG00000047346,56204.0
ENSG00000047365,116984.0
ENSG00000047410,7175.0
ENSG00000047457,1356.0
ENSG00000047578,23247.0
ENSG00000047579,84062.0
ENSG00000047597,7504.0
ENSG00000047617,57101.0
ENSG00000047621,57102.0
ENSG00000047634,6322.0
ENSG00000047644,55841.0
ENSG00000047648,395.0
ENSG00000047662,27146.0
ENSG00000047849,4134.0
ENSG00000047932,57120.0
ENSG00000047936,6098.0
ENSG00000048028,57646.0
ENSG00000048052,9734.0
ENSG00000048140,26262.0
ENSG00000048162,51491.0
ENSG00000048342,57545.0
ENSG00000048392,50484.0
ENSG00000048405,168850.0
ENSG00000048462,608.0
ENSG00000048471,92017.0
ENSG00000048540,55885.0
ENSG00000048544,55173.0
ENSG00000048545,2978.0
ENSG00000048649,51773.0
ENSG00000048707,55187.0
ENSG00000048740,10659.0
ENSG00000048828,23196.0
ENSG00000048991,23518.0
ENSG00000049089,1298.0
ENSG00000049130,4254.0
ENSG00000049167,1161.0
ENSG00000049192,11174.0
ENSG00000049239,9563.0
ENSG00000049245,9341.0
ENSG00000049246,8863.0
ENSG00000049247,10911.0
ENSG00000049249,3604.0
ENSG00000049283,55040.0
ENSG00000049323,4052.0
